code,Name,News_size,Market_cap,Shares_outstanding,P,N,None,Negtive,Slightly Negtive,Neutral,Slightly Positive,Positive
3515,ASROCK,89,"20,931.39","120,642,429",58,20,1198,67,3,,4,15
3005,Getac,88,"31,029.12","593,291,900",75,8,1193,79,5,1,1,2
3686,Danen,88,"1,821.88","113,513,643",29,52,1195,81,2,,2,3
1305,CGPC,88,"21,586.01","581,050,494",51,30,1195,71,5,,5,7
1909,LCP,87,"30,664.44","1,277,685,727",49,29,1198,63,7,1,5,11
6589,EirGenix,87,"26,502.40","243,690,584",50,26,1041,79,7,,1,
8150,ChipMOS,86,"33,562.13","727,240,126",48,31,1197,72,4,,5,5
8473,FOREST WATER,86,"4,918.89","144,249,158",71,11,1193,63,7,,6,10
1215,CPE,86,"21,439.20","267,990,998",51,22,1203,76,5,,4,1
3704,Unizyx,86,"13,993.92","448,523,855",47,36,1193,75,8,,2,1
3491,UMT,86,"7,738.75","62,158,662",62,21,1193,75,4,1,2,4
4915,Primax,86,"23,253.18","451,518,324",54,25,1197,75,7,,1,3
2838,UBOT,86,"38,883.57","3,295,218,694",58,21,1197,50,11,4,10,11
1590,AIRTAC,86,"165,999.17","199,999,998",50,21,1205,78,3,,4,1
4919,NTC,86,"52,485.38","410,042,700",49,28,1199,78,2,,1,5
2867,Mercuries Life,85,"24,506.02","2,669,501,044",41,41,1194,61,16,2,3,3
2206,SYM,85,"21,723.23","803,077,604",60,15,1201,46,25,1,10,3
2897,O-Bank,85,"21,317.45","2,733,006,301",66,16,1194,37,16,1,20,11
9917,TAIWAN SECOM,85,"45,345.30","451,197,093",74,7,1195,63,13,,3,6
4934,Tainergy,84,"8,392.50","200,000,000",44,20,1212,76,3,,,5
2425,CHAINTECH,84,"2,720.15","101,498,831",49,29,1198,59,8,,4,13
8924,O-TA,83,"14,581.20","83,800,000",57,11,1208,49,9,2,7,16
2406,GSC,83,"7,147.63","285,905,689",47,26,1203,77,1,,1,4
3083,CHINESEGAMER,82,"3,890.60","86,252,608",48,18,1210,73,2,1,1,5
3228,RDC,82,"26,845.91","67,792,705",27,55,1194,75,4,,,3
6121,SMP,82,"55,306.19","184,970,519",60,16,1200,69,5,1,4,3
3546,Userjoy,81,"3,786.76","48,177,548",53,13,1210,73,1,,2,5
9802,Fulgent Sun,81,"19,178.09","186,195,038",64,11,1201,66,5,1,3,6
